window_id,start_date,end_date,mean_return,median_return,return_std,market_volatility,market_max_drawdown,return_dispersion,volatility_dispersion,mean_correlation,correlation_std,avg_degree,network_density,clustering_coefficient,sector_concentration,sector_return_std,sector_return_spread,technology_minus_market
2020-03,2020-01-01,2020-03-25,-0.15172424,-0.15252769,0.07554448,0.37670342,-0.21754451,0.01107237,0.06829450,0.82640079,0.04342990,103.00000000,1.00000000,1.00000000,0.09681013,0.04013167,0.15568355,0.01700517
2020-04,2020-01-29,2020-04-22,-0.08027328,-0.07791109,0.09854381,0.45575188,-0.16808609,0.01249600,0.07989695,0.85125188,0.03654025,103.00000000,1.00000000,1.00000000,0.11415608,0.04228461,0.14593115,0.03131378
2020-05,2020-02-26,2020-05-20,0.11044150,0.11648718,0.11382303,0.44643219,-0.14626420,0.01276715,0.07818166,0.84033222,0.03833773,103.00000000,1.00000000,1.00000000,0.10568712,0.04604820,0.13573879,0.03798526
2020-06,2020-03-25,2020-06-17,0.06456198,0.05992657,0.09971427,0.33196434,-0.09335150,0.01143724,0.05656868,0.77572112,0.05295341,103.00000000,1.00000000,1.00000000,0.11568984,0.03424516,0.08780820,0.02503962
2020-07,2020-04-22,2020-07-15,-0.06624387,-0.07038929,0.07437547,0.21469105,-0.07916233,0.01034414,0.03453012,0.62845860,0.08421817,85.09615385,0.82617625,0.88975507,0.09975874,0.02155916,0.07116015,0.01418085
2020-08,2020-05-20,2020-08-12,-0.08095814,-0.07212724,0.07605941,0.21712599,-0.08996680,0.01025490,0.03632632,0.63872253,0.08892761,86.69230769,0.84167289,0.89775180,0.09838678,0.02418050,0.08336364,0.00254505
2020-09,2020-06-17,2020-09-09,-0.09331629,-0.09209206,0.07305666,0.20454220,-0.11908387,0.01008932,0.03500468,0.61789088,0.08949728,80.73076923,0.78379388,0.87032140,0.10290514,0.03468492,0.10838097,0.00933817
2020-10,2020-07-15,2020-10-07,-0.09663424,-0.11053333,0.07605240,0.22113476,-0.14410418,0.01007019,0.03830247,0.65631607,0.08240319,92.32692308,0.89637789,0.92573183,0.09929612,0.03019459,0.08690491,-0.00807961
2020-11,2020-08-12,2020-11-04,-0.05110709,-0.05336279,0.07503742,0.20310171,-0.10797073,0.01003684,0.03447521,0.61683756,0.08801437,80.71153846,0.78360717,0.87137913,0.10106372,0.01747836,0.05103028,-0.01412909
2020-12,2020-09-09,2020-12-02,-0.02966742,-0.01932930,0.07825773,0.19865668,-0.10300715,0.01013353,0.03651298,0.60197703,0.09162188,74.69230769,0.72516804,0.85634474,0.12710262,0.02211185,0.07603113,-0.02986693
2020-12,2020-10-07,2020-12-30,0.06401201,0.06298034,0.07987202,0.20468268,-0.06312751,0.01024997,0.03737126,0.61211888,0.08574478,79.36538462,0.77053771,0.86573791,0.10609086,0.02695539,0.07730396,-0.01777911
2021-01,2020-11-04,2021-01-27,0.03146686,0.02364766,0.07444159,0.21049609,-0.06312751,0.01022825,0.03956227,0.62733867,0.08149650,85.15384615,0.82673637,0.88612963,0.12008123,0.01862591,0.05911229,-0.01523725
