ticker,sector,source_member,first_date,last_date,expected_trading_days,raw_valid_days,coverage_before_fill,filled_days,coverage_after_fill,duplicate_count,invalid_date_count,invalid_price_count,anomalous_return_count,kept,drop_reason
AAPL,Information Technology,data/daily/us/nasdaq stocks/1/aapl.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
AMD,Information Technology,data/daily/us/nasdaq stocks/1/amd.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
AMT,Real Estate,data/daily/us/nyse stocks/1/amt.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
AMZN,Consumer Discretionary,data/daily/us/nasdaq stocks/1/amzn.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
AVGO,Information Technology,data/daily/us/nasdaq stocks/1/avgo.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
BA,Industrials,data/daily/us/nyse stocks/1/ba.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
BAC,Financials,data/daily/us/nyse stocks/1/bac.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
BRK.B,Financials,data/daily/us/nyse stocks/1/brk-b.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
CAT,Industrials,data/daily/us/nyse stocks/1/cat.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
COST,Consumer Staples,data/daily/us/nasdaq stocks/1/cost.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
CRM,Information Technology,data/daily/us/nyse stocks/1/crm.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
CSCO,Information Technology,data/daily/us/nasdaq stocks/1/csco.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
CVX,Energy,data/daily/us/nyse stocks/1/cvx.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
DIS,Communication Services,data/daily/us/nyse stocks/1/dis.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
DUK,Utilities,data/daily/us/nyse stocks/1/duk.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
GE,Industrials,data/daily/us/nyse stocks/1/ge.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
GOOG,Communication Services,data/daily/us/nasdaq stocks/1/goog.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
GOOGL,Communication Services,data/daily/us/nasdaq stocks/1/googl.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
GS,Financials,data/daily/us/nyse stocks/1/gs.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
HD,Consumer Discretionary,data/daily/us/nyse stocks/1/hd.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
INTC,Information Technology,data/daily/us/nasdaq stocks/2/intc.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
JNJ,Health Care,data/daily/us/nyse stocks/1/jnj.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
JPM,Financials,data/daily/us/nyse stocks/1/jpm.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
KO,Consumer Staples,data/daily/us/nyse stocks/1/ko.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
LIN,Materials,data/daily/us/nasdaq stocks/2/lin.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
LLY,Health Care,data/daily/us/nyse stocks/1/lly.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
MA,Financials,data/daily/us/nyse stocks/1/ma.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
MCD,Consumer Discretionary,data/daily/us/nyse stocks/2/mcd.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
META,Communication Services,data/daily/us/nasdaq stocks/2/meta.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
MS,Financials,data/daily/us/nyse stocks/2/ms.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
MSFT,Information Technology,data/daily/us/nasdaq stocks/2/msft.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
NEE,Utilities,data/daily/us/nyse stocks/2/nee.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
NFLX,Communication Services,data/daily/us/nasdaq stocks/2/nflx.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
NKE,Consumer Discretionary,data/daily/us/nyse stocks/2/nke.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
NVDA,Information Technology,data/daily/us/nasdaq stocks/2/nvda.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
ORCL,Information Technology,data/daily/us/nyse stocks/2/orcl.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
PEP,Consumer Staples,data/daily/us/nasdaq stocks/2/pep.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
PFE,Health Care,data/daily/us/nyse stocks/2/pfe.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
PG,Consumer Staples,data/daily/us/nyse stocks/2/pg.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
T,Communication Services,data/daily/us/nyse stocks/2/t.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
TSLA,Consumer Discretionary,data/daily/us/nasdaq stocks/3/tsla.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
UNH,Health Care,data/daily/us/nyse stocks/2/unh.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
V,Financials,data/daily/us/nyse stocks/2/v.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
VZ,Communication Services,data/daily/us/nyse stocks/2/vz.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
WMT,Consumer Staples,data/daily/us/nasdaq stocks/3/wmt.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
XOM,Energy,data/daily/us/nyse stocks/2/xom.us.txt,2021-06-22,2026-06-22,1255,1255,1.0,0,1.0,0,0,0,0,True,
