window_id,window_start,window_end,ticker,sector,cluster,kmeans_cluster
0,2021-06-23,2021-10-28,AAPL,Information Technology,0,0
0,2021-06-23,2021-10-28,AMD,Information Technology,0,1
0,2021-06-23,2021-10-28,AMT,Real Estate,2,4
0,2021-06-23,2021-10-28,AMZN,Consumer Discretionary,0,5
0,2021-06-23,2021-10-28,AVGO,Information Technology,0,1
0,2021-06-23,2021-10-28,BA,Industrials,0,2
0,2021-06-23,2021-10-28,BAC,Financials,0,2
0,2021-06-23,2021-10-28,BRK.B,Financials,0,2
0,2021-06-23,2021-10-28,CAT,Industrials,0,2
0,2021-06-23,2021-10-28,COST,Consumer Staples,2,0
0,2021-06-23,2021-10-28,CRM,Information Technology,0,5
0,2021-06-23,2021-10-28,CSCO,Information Technology,0,0
0,2021-06-23,2021-10-28,CVX,Energy,0,2
0,2021-06-23,2021-10-28,DIS,Communication Services,0,2
0,2021-06-23,2021-10-28,DUK,Utilities,2,4
0,2021-06-23,2021-10-28,GE,Industrials,0,2
0,2021-06-23,2021-10-28,GOOG,Communication Services,0,5
0,2021-06-23,2021-10-28,GOOGL,Communication Services,0,5
0,2021-06-23,2021-10-28,GS,Financials,0,2
0,2021-06-23,2021-10-28,HD,Consumer Discretionary,0,0
0,2021-06-23,2021-10-28,INTC,Information Technology,0,1
0,2021-06-23,2021-10-28,JNJ,Health Care,2,4
0,2021-06-23,2021-10-28,JPM,Financials,0,2
0,2021-06-23,2021-10-28,KO,Consumer Staples,2,4
0,2021-06-23,2021-10-28,LIN,Materials,0,0
0,2021-06-23,2021-10-28,LLY,Health Care,2,4
0,2021-06-23,2021-10-28,MA,Financials,0,3
0,2021-06-23,2021-10-28,MCD,Consumer Discretionary,0,0
0,2021-06-23,2021-10-28,META,Communication Services,0,1
0,2021-06-23,2021-10-28,MS,Financials,0,2
0,2021-06-23,2021-10-28,MSFT,Information Technology,0,5
0,2021-06-23,2021-10-28,NEE,Utilities,2,4
0,2021-06-23,2021-10-28,NFLX,Communication Services,5,1
0,2021-06-23,2021-10-28,NKE,Consumer Discretionary,3,0
0,2021-06-23,2021-10-28,NVDA,Information Technology,0,1
0,2021-06-23,2021-10-28,ORCL,Information Technology,4,0
0,2021-06-23,2021-10-28,PEP,Consumer Staples,2,4
0,2021-06-23,2021-10-28,PFE,Health Care,2,4
0,2021-06-23,2021-10-28,PG,Consumer Staples,2,4
0,2021-06-23,2021-10-28,T,Communication Services,0,2
0,2021-06-23,2021-10-28,TSLA,Consumer Discretionary,1,1
0,2021-06-23,2021-10-28,UNH,Health Care,0,0
0,2021-06-23,2021-10-28,V,Financials,0,3
0,2021-06-23,2021-10-28,VZ,Communication Services,0,4
0,2021-06-23,2021-10-28,WMT,Consumer Staples,2,4
0,2021-06-23,2021-10-28,XOM,Energy,0,2
1,2021-07-08,2021-11-11,AAPL,Information Technology,0,1
1,2021-07-08,2021-11-11,AMD,Information Technology,0,1
1,2021-07-08,2021-11-11,AMT,Real Estate,1,2
1,2021-07-08,2021-11-11,AMZN,Consumer Discretionary,0,5
1,2021-07-08,2021-11-11,AVGO,Information Technology,0,1
1,2021-07-08,2021-11-11,BA,Industrials,4,3
1,2021-07-08,2021-11-11,BAC,Financials,4,3
1,2021-07-08,2021-11-11,BRK.B,Financials,4,3
1,2021-07-08,2021-11-11,CAT,Industrials,4,3
1,2021-07-08,2021-11-11,COST,Consumer Staples,0,1
1,2021-07-08,2021-11-11,CRM,Information Technology,0,5
1,2021-07-08,2021-11-11,CSCO,Information Technology,0,4
1,2021-07-08,2021-11-11,CVX,Energy,4,3
1,2021-07-08,2021-11-11,DIS,Communication Services,4,0
1,2021-07-08,2021-11-11,DUK,Utilities,1,2
1,2021-07-08,2021-11-11,GE,Industrials,4,3
1,2021-07-08,2021-11-11,GOOG,Communication Services,0,1
1,2021-07-08,2021-11-11,GOOGL,Communication Services,0,1
1,2021-07-08,2021-11-11,GS,Financials,4,3
1,2021-07-08,2021-11-11,HD,Consumer Discretionary,0,1
1,2021-07-08,2021-11-11,INTC,Information Technology,4,3
1,2021-07-08,2021-11-11,JNJ,Health Care,1,4
1,2021-07-08,2021-11-11,JPM,Financials,4,3
1,2021-07-08,2021-11-11,KO,Consumer Staples,1,2
1,2021-07-08,2021-11-11,LIN,Materials,0,1
1,2021-07-08,2021-11-11,LLY,Health Care,1,4
1,2021-07-08,2021-11-11,MA,Financials,4,0
1,2021-07-08,2021-11-11,MCD,Consumer Discretionary,0,1
1,2021-07-08,2021-11-11,META,Communication Services,0,1
1,2021-07-08,2021-11-11,MS,Financials,4,3
1,2021-07-08,2021-11-11,MSFT,Information Technology,0,1
1,2021-07-08,2021-11-11,NEE,Utilities,1,2
1,2021-07-08,2021-11-11,NFLX,Communication Services,5,5
1,2021-07-08,2021-11-11,NKE,Consumer Discretionary,0,1
1,2021-07-08,2021-11-11,NVDA,Information Technology,0,5
1,2021-07-08,2021-11-11,ORCL,Information Technology,2,4
1,2021-07-08,2021-11-11,PEP,Consumer Staples,1,2
1,2021-07-08,2021-11-11,PFE,Health Care,1,4
1,2021-07-08,2021-11-11,PG,Consumer Staples,1,2
1,2021-07-08,2021-11-11,T,Communication Services,4,3
1,2021-07-08,2021-11-11,TSLA,Consumer Discretionary,3,3
1,2021-07-08,2021-11-11,UNH,Health Care,0,1
1,2021-07-08,2021-11-11,V,Financials,4,0
1,2021-07-08,2021-11-11,VZ,Communication Services,4,2
1,2021-07-08,2021-11-11,WMT,Consumer Staples,0,4
1,2021-07-08,2021-11-11,XOM,Energy,4,3
2,2021-07-22,2021-11-26,AAPL,Information Technology,1,2
2,2021-07-22,2021-11-26,AMD,Information Technology,1,2
2,2021-07-22,2021-11-26,AMT,Real Estate,2,0
2,2021-07-22,2021-11-26,AMZN,Consumer Discretionary,1,2
2,2021-07-22,2021-11-26,AVGO,Information Technology,1,2
2,2021-07-22,2021-11-26,BA,Industrials,0,3
2,2021-07-22,2021-11-26,BAC,Financials,0,3
2,2021-07-22,2021-11-26,BRK.B,Financials,0,3
2,2021-07-22,2021-11-26,CAT,Industrials,0,3
2,2021-07-22,2021-11-26,COST,Consumer Staples,1,2
2,2021-07-22,2021-11-26,CRM,Information Technology,1,2
2,2021-07-22,2021-11-26,CSCO,Information Technology,2,1
2,2021-07-22,2021-11-26,CVX,Energy,0,3
2,2021-07-22,2021-11-26,DIS,Communication Services,0,4
2,2021-07-22,2021-11-26,DUK,Utilities,2,1
2,2021-07-22,2021-11-26,GE,Industrials,0,3
2,2021-07-22,2021-11-26,GOOG,Communication Services,1,2
2,2021-07-22,2021-11-26,GOOGL,Communication Services,1,2
2,2021-07-22,2021-11-26,GS,Financials,0,3
2,2021-07-22,2021-11-26,HD,Consumer Discretionary,1,2
2,2021-07-22,2021-11-26,INTC,Information Technology,0,4
2,2021-07-22,2021-11-26,JNJ,Health Care,2,0
2,2021-07-22,2021-11-26,JPM,Financials,0,3
2,2021-07-22,2021-11-26,KO,Consumer Staples,2,0
2,2021-07-22,2021-11-26,LIN,Materials,2,2
2,2021-07-22,2021-11-26,LLY,Health Care,2,0
2,2021-07-22,2021-11-26,MA,Financials,0,5
2,2021-07-22,2021-11-26,MCD,Consumer Discretionary,1,2
2,2021-07-22,2021-11-26,META,Communication Services,1,2
2,2021-07-22,2021-11-26,MS,Financials,0,3
2,2021-07-22,2021-11-26,MSFT,Information Technology,1,2
2,2021-07-22,2021-11-26,NEE,Utilities,2,0
2,2021-07-22,2021-11-26,NFLX,Communication Services,3,2
2,2021-07-22,2021-11-26,NKE,Consumer Discretionary,1,2
2,2021-07-22,2021-11-26,NVDA,Information Technology,1,2
2,2021-07-22,2021-11-26,ORCL,Information Technology,0,3
2,2021-07-22,2021-11-26,PEP,Consumer Staples,2,0
2,2021-07-22,2021-11-26,PFE,Health Care,4,1
2,2021-07-22,2021-11-26,PG,Consumer Staples,2,0
2,2021-07-22,2021-11-26,T,Communication Services,0,1
2,2021-07-22,2021-11-26,TSLA,Consumer Discretionary,5,4
2,2021-07-22,2021-11-26,UNH,Health Care,2,0
2,2021-07-22,2021-11-26,V,Financials,0,5
2,2021-07-22,2021-11-26,VZ,Communication Services,0,1
2,2021-07-22,2021-11-26,WMT,Consumer Staples,1,0
2,2021-07-22,2021-11-26,XOM,Energy,0,3
3,2021-08-05,2021-12-10,AAPL,Information Technology,0,3
3,2021-08-05,2021-12-10,AMD,Information Technology,0,5
3,2021-08-05,2021-12-10,AMT,Real Estate,1,1
3,2021-08-05,2021-12-10,AMZN,Consumer Discretionary,0,3
3,2021-08-05,2021-12-10,AVGO,Information Technology,0,4
3,2021-08-05,2021-12-10,BA,Industrials,4,0
3,2021-08-05,2021-12-10,BAC,Financials,4,2
3,2021-08-05,2021-12-10,BRK.B,Financials,4,2
3,2021-08-05,2021-12-10,CAT,Industrials,4,2
3,2021-08-05,2021-12-10,COST,Consumer Staples,0,4
3,2021-08-05,2021-12-10,CRM,Information Technology,0,5
3,2021-08-05,2021-12-10,CSCO,Information Technology,4,4
3,2021-08-05,2021-12-10,CVX,Energy,4,2
3,2021-08-05,2021-12-10,DIS,Communication Services,4,0
3,2021-08-05,2021-12-10,DUK,Utilities,1,1
3,2021-08-05,2021-12-10,GE,Industrials,4,2
3,2021-08-05,2021-12-10,GOOG,Communication Services,0,3
3,2021-08-05,2021-12-10,GOOGL,Communication Services,0,3
3,2021-08-05,2021-12-10,GS,Financials,4,2
3,2021-08-05,2021-12-10,HD,Consumer Discretionary,0,4
3,2021-08-05,2021-12-10,INTC,Information Technology,0,3
3,2021-08-05,2021-12-10,JNJ,Health Care,1,1
3,2021-08-05,2021-12-10,JPM,Financials,4,2
3,2021-08-05,2021-12-10,KO,Consumer Staples,1,1
3,2021-08-05,2021-12-10,LIN,Materials,4,3
3,2021-08-05,2021-12-10,LLY,Health Care,1,4
3,2021-08-05,2021-12-10,MA,Financials,4,0
3,2021-08-05,2021-12-10,MCD,Consumer Discretionary,4,3
3,2021-08-05,2021-12-10,META,Communication Services,0,3
3,2021-08-05,2021-12-10,MS,Financials,4,2
3,2021-08-05,2021-12-10,MSFT,Information Technology,0,3
3,2021-08-05,2021-12-10,NEE,Utilities,1,1
3,2021-08-05,2021-12-10,NFLX,Communication Services,5,4
3,2021-08-05,2021-12-10,NKE,Consumer Discretionary,0,5
3,2021-08-05,2021-12-10,NVDA,Information Technology,0,5
3,2021-08-05,2021-12-10,ORCL,Information Technology,0,4
3,2021-08-05,2021-12-10,PEP,Consumer Staples,1,1
3,2021-08-05,2021-12-10,PFE,Health Care,3,4
3,2021-08-05,2021-12-10,PG,Consumer Staples,1,1
3,2021-08-05,2021-12-10,T,Communication Services,4,1
3,2021-08-05,2021-12-10,TSLA,Consumer Discretionary,2,5
3,2021-08-05,2021-12-10,UNH,Health Care,4,3
3,2021-08-05,2021-12-10,V,Financials,4,0
3,2021-08-05,2021-12-10,VZ,Communication Services,4,1
3,2021-08-05,2021-12-10,WMT,Consumer Staples,1,4
3,2021-08-05,2021-12-10,XOM,Energy,4,2
4,2021-08-19,2021-12-27,AAPL,Information Technology,4,3
4,2021-08-19,2021-12-27,AMD,Information Technology,4,5
4,2021-08-19,2021-12-27,AMT,Real Estate,2,1
4,2021-08-19,2021-12-27,AMZN,Consumer Discretionary,4,3
4,2021-08-19,2021-12-27,AVGO,Information Technology,4,4
4,2021-08-19,2021-12-27,BA,Industrials,1,0
4,2021-08-19,2021-12-27,BAC,Financials,1,2
4,2021-08-19,2021-12-27,BRK.B,Financials,1,2
4,2021-08-19,2021-12-27,CAT,Industrials,1,2
4,2021-08-19,2021-12-27,COST,Consumer Staples,4,4
4,2021-08-19,2021-12-27,CRM,Information Technology,4,5
4,2021-08-19,2021-12-27,CSCO,Information Technology,4,4
4,2021-08-19,2021-12-27,CVX,Energy,1,2
4,2021-08-19,2021-12-27,DIS,Communication Services,1,0
4,2021-08-19,2021-12-27,DUK,Utilities,2,1
4,2021-08-19,2021-12-27,GE,Industrials,1,2
4,2021-08-19,2021-12-27,GOOG,Communication Services,4,3
4,2021-08-19,2021-12-27,GOOGL,Communication Services,4,3
4,2021-08-19,2021-12-27,GS,Financials,1,2
4,2021-08-19,2021-12-27,HD,Consumer Discretionary,4,4
4,2021-08-19,2021-12-27,INTC,Information Technology,4,3
4,2021-08-19,2021-12-27,JNJ,Health Care,2,1
