algorithm,k,silhouette,davies_bouldin,calinski_harabasz,sse_inertia
kmeans,2,0.291243,1.328711,30.658866,746.435047
kmeans,3,0.257796,1.221663,29.429798,575.109984
kmeans,4,0.298818,1.071993,34.141852,422.396689
kmeans,5,0.288347,1.124957,27.896231,396.571637
kmeans,6,0.284881,1.126936,29.909334,322.489174
agglomerative,2,0.402066,0.795193,11.834988,924.665586
agglomerative,3,0.194582,1.091160,12.023948,797.442283
agglomerative,4,0.241345,1.149294,21.264102,549.101121
agglomerative,5,0.244221,0.984065,17.016408,527.252989
agglomerative,6,0.238636,0.909375,18.459918,441.366260
gaussian_mixture,2,0.300476,1.319445,28.898003,760.153174
gaussian_mixture,3,0.229866,1.459373,27.737517,591.113573
gaussian_mixture,4,0.270032,1.109181,31.745109,441.260430
gaussian_mixture,5,0.248528,1.128330,28.403346,391.962943
gaussian_mixture,6,0.253820,1.125836,28.602544,332.709303
