window_id,start_date,end_date,regime_id,regime_name
2020-03,2020-01-01,2020-03-25,0,Regime A：危机共振状态
2020-04,2020-01-29,2020-04-22,0,Regime A：危机共振状态
2020-05,2020-02-26,2020-05-20,0,Regime A：危机共振状态
2020-06,2020-03-25,2020-06-17,0,Regime A：危机共振状态
2020-07,2020-04-22,2020-07-15,1,Regime B：高波动调整期
2020-08,2020-05-20,2020-08-12,1,Regime B：高波动调整期
2020-09,2020-06-17,2020-09-09,1,Regime B：高波动调整期
2020-10,2020-07-15,2020-10-07,1,Regime B：高波动调整期
2020-11,2020-08-12,2020-11-04,1,Regime B：高波动调整期
2020-12,2020-09-09,2020-12-02,1,Regime B：高波动调整期
2020-12,2020-10-07,2020-12-30,1,Regime B：高波动调整期
2021-01,2020-11-04,2021-01-27,1,Regime B：高波动调整期
2021-02,2020-12-02,2021-02-24,1,Regime B：高波动调整期
2021-03,2020-12-30,2021-03-24,2,Regime C：科技成长驱动阶段
2021-04,2021-01-27,2021-04-21,2,Regime C：科技成长驱动阶段
2021-05,2021-02-24,2021-05-19,1,Regime B：高波动调整期
2021-06,2021-03-24,2021-06-16,1,Regime B：高波动调整期
2021-07,2021-04-21,2021-07-14,1,Regime B：高波动调整期
2021-08,2021-05-19,2021-08-11,1,Regime B：高波动调整期
2021-09,2021-06-16,2021-09-08,1,Regime B：高波动调整期
2021-10,2021-07-14,2021-10-06,2,Regime C：科技成长驱动阶段
2021-11,2021-08-11,2021-11-03,2,Regime C：科技成长驱动阶段
2021-12,2021-09-08,2021-12-01,2,Regime C：科技成长驱动阶段
2021-12,2021-10-06,2021-12-29,1,Regime B：高波动调整期
2022-01,2021-11-03,2022-01-26,1,Regime B：高波动调整期
2022-02,2021-12-01,2022-02-23,1,Regime B：高波动调整期
2022-03,2021-12-29,2022-03-23,0,Regime A：危机共振状态
2022-04,2022-01-26,2022-04-20,2,Regime C：科技成长驱动阶段
2022-05,2022-02-23,2022-05-18,2,Regime C：科技成长驱动阶段
2022-06,2022-03-23,2022-06-15,0,Regime A：危机共振状态
2022-07,2022-04-20,2022-07-13,0,Regime A：危机共振状态
2022-08,2022-05-18,2022-08-10,0,Regime A：危机共振状态
2022-09,2022-06-15,2022-09-07,0,Regime A：危机共振状态
2022-10,2022-07-13,2022-10-05,0,Regime A：危机共振状态
2022-11,2022-08-10,2022-11-02,0,Regime A：危机共振状态
2022-11,2022-09-07,2022-11-30,0,Regime A：危机共振状态
2022-12,2022-10-05,2022-12-28,0,Regime A：危机共振状态
2023-01,2022-11-02,2023-01-25,1,Regime B：高波动调整期
2023-02,2022-11-30,2023-02-22,1,Regime B：高波动调整期
2023-03,2022-12-28,2023-03-22,3,Regime D：低波动科技牛市
2023-04,2023-01-25,2023-04-19,3,Regime D：低波动科技牛市
2023-05,2023-02-22,2023-05-17,3,Regime D：低波动科技牛市
2023-06,2023-03-22,2023-06-14,2,Regime C：科技成长驱动阶段
2023-07,2023-04-19,2023-07-12,2,Regime C：科技成长驱动阶段
2023-08,2023-05-17,2023-08-09,2,Regime C：科技成长驱动阶段
2023-09,2023-06-14,2023-09-06,2,Regime C：科技成长驱动阶段
2023-10,2023-07-12,2023-10-04,2,Regime C：科技成长驱动阶段
2023-11,2023-08-09,2023-11-01,2,Regime C：科技成长驱动阶段
2023-11,2023-09-06,2023-11-29,2,Regime C：科技成长驱动阶段
2023-12,2023-10-04,2023-12-27,1,Regime B：高波动调整期
2024-01,2023-11-01,2024-01-24,3,Regime D：低波动科技牛市
2024-02,2023-11-29,2024-02-21,3,Regime D：低波动科技牛市
2024-03,2023-12-27,2024-03-20,3,Regime D：低波动科技牛市
2024-04,2024-01-24,2024-04-17,3,Regime D：低波动科技牛市
2024-05,2024-02-21,2024-05-15,3,Regime D：低波动科技牛市
2024-06,2024-03-20,2024-06-12,3,Regime D：低波动科技牛市
2024-07,2024-04-17,2024-07-10,3,Regime D：低波动科技牛市
2024-08,2024-05-15,2024-08-07,2,Regime C：科技成长驱动阶段
2024-09,2024-06-12,2024-09-04,2,Regime C：科技成长驱动阶段
2024-10,2024-07-10,2024-10-02,2,Regime C：科技成长驱动阶段
2024-10,2024-08-07,2024-10-30,3,Regime D：低波动科技牛市
2024-11,2024-09-04,2024-11-27,3,Regime D：低波动科技牛市
2024-12,2024-10-02,2024-12-25,3,Regime D：低波动科技牛市
2025-01,2024-10-30,2025-01-22,3,Regime D：低波动科技牛市
2025-02,2024-11-27,2025-02-19,3,Regime D：低波动科技牛市
2025-03,2024-12-25,2025-03-19,3,Regime D：低波动科技牛市
2025-04,2025-01-22,2025-04-16,3,Regime D：低波动科技牛市
2025-05,2025-02-19,2025-05-14,3,Regime D：低波动科技牛市
2025-06,2025-03-19,2025-06-11,3,Regime D：低波动科技牛市
